Lower tier local authorities Code,Lower tier local authorities,Age (61 categories) Code,Age (61 categories),Sex (2 categories) Code,Sex (2 categories),Ethnic group (6 categories) Code,Ethnic group (6 categories),Observation
E06000023,Bristol,28,Aged 42 years,1,Female,3,Mixed or Multiple ethnic groups,98
E06000023,Bristol,28,Aged 42 years,1,Female,4,White,2382
E06000023,Bristol,28,Aged 42 years,1,Female,5,Other ethnic group,83
E06000023,Bristol,28,Aged 42 years,2,Male,-8,Does not apply,0
E06000023,Bristol,28,Aged 42 years,2,Male,1,"Asian, Asian British or Asian Welsh",234
E06000023,Bristol,28,Aged 42 years,2,Male,2,"Black, Black British, Black Welsh, Caribbean or African",184
E06000023,Bristol,28,Aged 42 years,2,Male,3,Mixed or Multiple ethnic groups,96
E06000023,Bristol,28,Aged 42 years,2,Male,4,White,2468
E06000023,Bristol,28,Aged 42 years,2,Male,5,Other ethnic group,83
E06000023,Bristol,29,Aged 43 years,1,Female,-8,Does not apply,0
E06000023,Bristol,29,Aged 43 years,1,Female,1,"Asian, Asian British or Asian Welsh",242
E06000023,Bristol,29,Aged 43 years,1,Female,2,"Black, Black British, Black Welsh, Caribbean or African",211
E06000023,Bristol,29,Aged 43 years,1,Female,3,Mixed or Multiple ethnic groups,79
E06000023,Bristol,29,Aged 43 years,1,Female,4,White,2186
E06000023,Bristol,29,Aged 43 years,1,Female,5,Other ethnic group,71
E06000023,Bristol,29,Aged 43 years,2,Male,-8,Does not apply,0
E06000023,Bristol,29,Aged 43 years,2,Male,1,"Asian, Asian British or Asian Welsh",231
E06000023,Bristol,29,Aged 43 years,2,Male,2,"Black, Black British, Black Welsh, Caribbean or African",195
E06000023,Bristol,29,Aged 43 years,2,Male,3,Mixed or Multiple ethnic groups,63
E06000023,Bristol,29,Aged 43 years,2,Male,4,White,2315
E06000023,Bristol,29,Aged 43 years,2,Male,5,Other ethnic group,82
E06000023,Bristol,30,Aged 44 years,1,Female,-8,Does not apply,0
E06000023,Bristol,30,Aged 44 years,1,Female,1,"Asian, Asian British or Asian Welsh",256
E06000023,Bristol,30,Aged 44 years,1,Female,2,"Black, Black British, Black Welsh, Caribbean or African",184
E06000023,Bristol,30,Aged 44 years,1,Female,3,Mixed or Multiple ethnic groups,87
E06000023,Bristol,30,Aged 44 years,1,Female,4,White,2150
E06000023,Bristol,30,Aged 44 years,1,Female,5,Other ethnic group,67
E06000023,Bristol,30,Aged 44 years,2,Male,-8,Does not apply,0
E06000023,Bristol,30,Aged 44 years,2,Male,1,"Asian, Asian British or Asian Welsh",239
E06000023,Bristol,30,Aged 44 years,2,Male,2,"Black, Black British, Black Welsh, Caribbean or African",201
E06000023,Bristol,30,Aged 44 years,2,Male,3,Mixed or Multiple ethnic groups,58
E06000023,Bristol,30,Aged 44 years,2,Male,4,White,2282
E06000023,Bristol,30,Aged 44 years,2,Male,5,Other ethnic group,76
E06000023,Bristol,31,Aged 45 years,1,Female,-8,Does not apply,0
E06000023,Bristol,31,Aged 45 years,1,Female,1,"Asian, Asian British or Asian Welsh",235
E06000023,Bristol,31,Aged 45 years,1,Female,2,"Black, Black British, Black Welsh, Caribbean or African",221
E06000023,Bristol,31,Aged 45 years,1,Female,3,Mixed or Multiple ethnic groups,72
E06000023,Bristol,31,Aged 45 years,1,Female,4,White,2174
E06000023,Bristol,31,Aged 45 years,1,Female,5,Other ethnic group,64
E06000023,Bristol,31,Aged 45 years,2,Male,-8,Does not apply,0
E06000023,Bristol,31,Aged 45 years,2,Male,1,"Asian, Asian British or Asian Welsh",220
E06000023,Bristol,31,Aged 45 years,2,Male,2,"Black, Black British, Black Welsh, Caribbean or African",179
E06000023,Bristol,31,Aged 45 years,2,Male,3,Mixed or Multiple ethnic groups,60
E06000023,Bristol,31,Aged 45 years,2,Male,4,White,2170
E06000023,Bristol,31,Aged 45 years,2,Male,5,Other ethnic group,75
E06000023,Bristol,32,Aged 46 years,1,Female,-8,Does not apply,0
E06000023,Bristol,32,Aged 46 years,1,Female,1,"Asian, Asian British or Asian Welsh",253
E06000023,Bristol,32,Aged 46 years,1,Female,2,"Black, Black British, Black Welsh, Caribbean or African",200
E06000023,Bristol,32,Aged 46 years,1,Female,3,Mixed or Multiple ethnic groups,69
E06000023,Bristol,32,Aged 46 years,1,Female,4,White,2167
E06000023,Bristol,32,Aged 46 years,1,Female,5,Other ethnic group,65
E06000023,Bristol,32,Aged 46 years,2,Male,-8,Does not apply,0
E06000023,Bristol,32,Aged 46 years,2,Male,1,"Asian, Asian British or Asian Welsh",213
E06000023,Bristol,32,Aged 46 years,2,Male,2,"Black, Black British, Black Welsh, Caribbean or African",169
E06000023,Bristol,32,Aged 46 years,2,Male,3,Mixed or Multiple ethnic groups,66
E06000023,Bristol,32,Aged 46 years,2,Male,4,White,2242
E06000023,Bristol,32,Aged 46 years,2,Male,5,Other ethnic group,65
E06000023,Bristol,33,Aged 47 years,1,Female,-8,Does not apply,0
E06000023,Bristol,33,Aged 47 years,1,Female,1,"Asian, Asian British or Asian Welsh",226
E06000023,Bristol,33,Aged 47 years,1,Female,2,"Black, Black British, Black Welsh, Caribbean or African",182
E06000023,Bristol,33,Aged 47 years,1,Female,3,Mixed or Multiple ethnic groups,76
E06000023,Bristol,33,Aged 47 years,1,Female,4,White,2101
E06000023,Bristol,33,Aged 47 years,1,Female,5,Other ethnic group,65
E06000023,Bristol,33,Aged 47 years,2,Male,-8,Does not apply,0
E06000023,Bristol,33,Aged 47 years,2,Male,1,"Asian, Asian British or Asian Welsh",198
E06000023,Bristol,33,Aged 47 years,2,Male,2,"Black, Black British, Black Welsh, Caribbean or African",154
E06000023,Bristol,33,Aged 47 years,2,Male,3,Mixed or Multiple ethnic groups,62
E06000023,Bristol,33,Aged 47 years,2,Male,4,White,2133
E06000023,Bristol,33,Aged 47 years,2,Male,5,Other ethnic group,72
E06000023,Bristol,34,Aged 48 years,1,Female,-8,Does not apply,0
E06000023,Bristol,34,Aged 48 years,1,Female,1,"Asian, Asian British or Asian Welsh",201
E06000023,Bristol,34,Aged 48 years,1,Female,2,"Black, Black British, Black Welsh, Caribbean or African",169
E06000023,Bristol,34,Aged 48 years,1,Female,3,Mixed or Multiple ethnic groups,75
E06000023,Bristol,34,Aged 48 years,1,Female,4,White,2098
E06000023,Bristol,34,Aged 48 years,1,Female,5,Other ethnic group,50
E06000023,Bristol,34,Aged 48 years,2,Male,-8,Does not apply,0
E06000023,Bristol,34,Aged 48 years,2,Male,1,"Asian, Asian British or Asian Welsh",219
E06000023,Bristol,34,Aged 48 years,2,Male,2,"Black, Black British, Black Welsh, Caribbean or African",185
E06000023,Bristol,34,Aged 48 years,2,Male,3,Mixed or Multiple ethnic groups,48
E06000023,Bristol,34,Aged 48 years,2,Male,4,White,2189
E06000023,Bristol,34,Aged 48 years,2,Male,5,Other ethnic group,49
E06000023,Bristol,35,Aged 49 years,1,Female,-8,Does not apply,0
E06000023,Bristol,35,Aged 49 years,1,Female,1,"Asian, Asian British or Asian Welsh",215
E06000023,Bristol,35,Aged 49 years,1,Female,2,"Black, Black British, Black Welsh, Caribbean or African",155
E06000023,Bristol,35,Aged 49 years,1,Female,3,Mixed or Multiple ethnic groups,65
E06000023,Bristol,35,Aged 49 years,1,Female,4,White,2211
E06000023,Bristol,35,Aged 49 years,1,Female,5,Other ethnic group,46
E06000023,Bristol,35,Aged 49 years,2,Male,-8,Does not apply,0
E06000023,Bristol,35,Aged 49 years,2,Male,1,"Asian, Asian British or Asian Welsh",203
E06000023,Bristol,35,Aged 49 years,2,Male,2,"Black, Black British, Black Welsh, Caribbean or African",161
E06000023,Bristol,35,Aged 49 years,2,Male,3,Mixed or Multiple ethnic groups,44
E06000023,Bristol,35,Aged 49 years,2,Male,4,White,2266
E06000023,Bristol,35,Aged 49 years,2,Male,5,Other ethnic group,59
E06000023,Bristol,36,Aged 50 years,1,Female,-8,Does not apply,0
E06000023,Bristol,36,Aged 50 years,1,Female,1,"Asian, Asian British or Asian Welsh",189
E06000023,Bristol,36,Aged 50 years,1,Female,2,"Black, Black British, Black Welsh, Caribbean or African",153
E06000023,Bristol,36,Aged 50 years,1,Female,3,Mixed or Multiple ethnic groups,60
E06000023,Bristol,36,Aged 50 years,1,Female,4,White,2190
E06000023,Bristol,36,Aged 50 years,1,Female,5,Other ethnic group,41
E06000023,Bristol,36,Aged 50 years,2,Male,-8,Does not apply,0
E06000023,Bristol,36,Aged 50 years,2,Male,1,"Asian, Asian British or Asian Welsh",209
E06000023,Bristol,36,Aged 50 years,2,Male,2,"Black, Black British, Black Welsh, Caribbean or African",199
E06000023,Bristol,36,Aged 50 years,2,Male,3,Mixed or Multiple ethnic groups,62
E06000023,Bristol,36,Aged 50 years,2,Male,4,White,2228
E06000023,Bristol,36,Aged 50 years,2,Male,5,Other ethnic group,52
E06000023,Bristol,37,Aged 51 years,1,Female,-8,Does not apply,0
E06000023,Bristol,37,Aged 51 years,1,Female,1,"Asian, Asian British or Asian Welsh",185
E06000023,Bristol,37,Aged 51 years,1,Female,2,"Black, Black British, Black Welsh, Caribbean or African",188
E06000023,Bristol,37,Aged 51 years,1,Female,3,Mixed or Multiple ethnic groups,53
E06000023,Bristol,37,Aged 51 years,1,Female,4,White,2153
E06000023,Bristol,37,Aged 51 years,1,Female,5,Other ethnic group,42
E06000023,Bristol,37,Aged 51 years,2,Male,-8,Does not apply,0
E06000023,Bristol,37,Aged 51 years,2,Male,1,"Asian, Asian British or Asian Welsh",167
E06000023,Bristol,37,Aged 51 years,2,Male,2,"Black, Black British, Black Welsh, Caribbean or African",164
E06000023,Bristol,37,Aged 51 years,2,Male,3,Mixed or Multiple ethnic groups,54
E06000023,Bristol,37,Aged 51 years,2,Male,4,White,2142
E06000023,Bristol,37,Aged 51 years,2,Male,5,Other ethnic group,49
E06000023,Bristol,38,Aged 52 years,1,Female,-8,Does not apply,0
E06000023,Bristol,38,Aged 52 years,1,Female,1,"Asian, Asian British or Asian Welsh",131
E06000023,Bristol,38,Aged 52 years,1,Female,2,"Black, Black British, Black Welsh, Caribbean or African",177
E06000023,Bristol,38,Aged 52 years,1,Female,3,Mixed or Multiple ethnic groups,63
E06000023,Bristol,38,Aged 52 years,1,Female,4,White,2223
E06000023,Bristol,38,Aged 52 years,1,Female,5,Other ethnic group,29
E06000023,Bristol,38,Aged 52 years,2,Male,-8,Does not apply,0
E06000023,Bristol,38,Aged 52 years,2,Male,1,"Asian, Asian British or Asian Welsh",138
E06000023,Bristol,38,Aged 52 years,2,Male,2,"Black, Black British, Black Welsh, Caribbean or African",187
E06000023,Bristol,38,Aged 52 years,2,Male,3,Mixed or Multiple ethnic groups,50
E06000023,Bristol,38,Aged 52 years,2,Male,4,White,2241
E06000023,Bristol,38,Aged 52 years,2,Male,5,Other ethnic group,50
E06000023,Bristol,39,Aged 53 years,1,Female,-8,Does not apply,0
E06000023,Bristol,39,Aged 53 years,1,Female,1,"Asian, Asian British or Asian Welsh",125
E06000023,Bristol,39,Aged 53 years,1,Female,2,"Black, Black British, Black Welsh, Caribbean or African",143
E06000023,Bristol,39,Aged 53 years,1,Female,3,Mixed or Multiple ethnic groups,60
E06000023,Bristol,39,Aged 53 years,1,Female,4,White,2082
E06000023,Bristol,39,Aged 53 years,1,Female,5,Other ethnic group,33
E06000023,Bristol,39,Aged 53 years,2,Male,-8,Does not apply,0
E06000023,Bristol,39,Aged 53 years,2,Male,1,"Asian, Asian British or Asian Welsh",121
E06000023,Bristol,39,Aged 53 years,2,Male,2,"Black, Black British, Black Welsh, Caribbean or African",186
E06000023,Bristol,39,Aged 53 years,2,Male,3,Mixed or Multiple ethnic groups,50
E06000023,Bristol,39,Aged 53 years,2,Male,4,White,2245
E06000023,Bristol,39,Aged 53 years,2,Male,5,Other ethnic group,35
E06000023,Bristol,40,Aged 54 years,1,Female,-8,Does not apply,0
E06000023,Bristol,40,Aged 54 years,1,Female,1,"Asian, Asian British or Asian Welsh",121
E06000023,Bristol,40,Aged 54 years,1,Female,2,"Black, Black British, Black Welsh, Caribbean or African",158
E06000023,Bristol,40,Aged 54 years,1,Female,3,Mixed or Multiple ethnic groups,74
E06000023,Bristol,40,Aged 54 years,1,Female,4,White,2212
E06000023,Bristol,40,Aged 54 years,1,Female,5,Other ethnic group,30
E06000023,Bristol,40,Aged 54 years,2,Male,-8,Does not apply,0
E06000023,Bristol,40,Aged 54 years,2,Male,1,"Asian, Asian British or Asian Welsh",122
E06000023,Bristol,40,Aged 54 years,2,Male,2,"Black, Black British, Black Welsh, Caribbean or African",185
E06000023,Bristol,40,Aged 54 years,2,Male,3,Mixed or Multiple ethnic groups,49
E06000023,Bristol,40,Aged 54 years,2,Male,4,White,2260
E06000023,Bristol,40,Aged 54 years,2,Male,5,Other ethnic group,47
E06000023,Bristol,41,Aged 55 years,1,Female,-8,Does not apply,0
E06000023,Bristol,41,Aged 55 years,1,Female,1,"Asian, Asian British or Asian Welsh",124
E06000023,Bristol,41,Aged 55 years,1,Female,2,"Black, Black British, Black Welsh, Caribbean or African",169
E06000023,Bristol,41,Aged 55 years,1,Female,3,Mixed or Multiple ethnic groups,56
E06000023,Bristol,41,Aged 55 years,1,Female,4,White,2286
E06000023,Bristol,41,Aged 55 years,1,Female,5,Other ethnic group,35
E06000023,Bristol,41,Aged 55 years,2,Male,-8,Does not apply,0
E06000023,Bristol,41,Aged 55 years,2,Male,1,"Asian, Asian British or Asian Welsh",113
E06000023,Bristol,41,Aged 55 years,2,Male,2,"Black, Black British, Black Welsh, Caribbean or African",181
E06000023,Bristol,41,Aged 55 years,2,Male,3,Mixed or Multiple ethnic groups,47
E06000023,Bristol,41,Aged 55 years,2,Male,4,White,2209
E06000023,Bristol,41,Aged 55 years,2,Male,5,Other ethnic group,25
E06000023,Bristol,42,Aged 56 years,1,Female,-8,Does not apply,0
E06000023,Bristol,42,Aged 56 years,1,Female,1,"Asian, Asian British or Asian Welsh",95
E06000023,Bristol,42,Aged 56 years,1,Female,2,"Black, Black British, Black Welsh, Caribbean or African",169
E06000023,Bristol,42,Aged 56 years,1,Female,3,Mixed or Multiple ethnic groups,51
E06000023,Bristol,42,Aged 56 years,1,Female,4,White,2209
E06000023,Bristol,42,Aged 56 years,1,Female,5,Other ethnic group,26
E06000023,Bristol,42,Aged 56 years,2,Male,-8,Does not apply,0
E06000023,Bristol,42,Aged 56 years,2,Male,1,"Asian, Asian British or Asian Welsh",112
E06000023,Bristol,42,Aged 56 years,2,Male,2,"Black, Black British, Black Welsh, Caribbean or African",170
E06000023,Bristol,42,Aged 56 years,2,Male,3,Mixed or Multiple ethnic groups,70
E06000023,Bristol,42,Aged 56 years,2,Male,4,White,2330
E06000023,Bristol,42,Aged 56 years,2,Male,5,Other ethnic group,29
E06000023,Bristol,43,Aged 57 years,1,Female,-8,Does not apply,0
E06000023,Bristol,43,Aged 57 years,1,Female,1,"Asian, Asian British or Asian Welsh",110
E06000023,Bristol,43,Aged 57 years,1,Female,2,"Black, Black British, Black Welsh, Caribbean or African",159
E06000023,Bristol,43,Aged 57 years,1,Female,3,Mixed or Multiple ethnic groups,59
E06000023,Bristol,43,Aged 57 years,1,Female,4,White,2173
E06000023,Bristol,43,Aged 57 years,1,Female,5,Other ethnic group,17
E06000023,Bristol,43,Aged 57 years,2,Male,-8,Does not apply,0
E06000023,Bristol,43,Aged 57 years,2,Male,1,"Asian, Asian British or Asian Welsh",99
E06000023,Bristol,43,Aged 57 years,2,Male,2,"Black, Black British, Black Welsh, Caribbean or African",166
E06000023,Bristol,43,Aged 57 years,2,Male,3,Mixed or Multiple ethnic groups,36
E06000023,Bristol,43,Aged 57 years,2,Male,4,White,2105
E06000023,Bristol,43,Aged 57 years,2,Male,5,Other ethnic group,27
E06000023,Bristol,44,Aged 58 years,1,Female,-8,Does not apply,0
E06000023,Bristol,44,Aged 58 years,1,Female,1,"Asian, Asian British or Asian Welsh",124
E06000023,Bristol,44,Aged 58 years,1,Female,2,"Black, Black British, Black Welsh, Caribbean or African",135
E06000023,Bristol,44,Aged 58 years,1,Female,3,Mixed or Multiple ethnic groups,31
E06000023,Bristol,44,Aged 58 years,1,Female,4,White,2134
E06000023,Bristol,44,Aged 58 years,1,Female,5,Other ethnic group,21
E06000023,Bristol,44,Aged 58 years,2,Male,-8,Does not apply,0
E06000023,Bristol,44,Aged 58 years,2,Male,1,"Asian, Asian British or Asian Welsh",99
E06000023,Bristol,44,Aged 58 years,2,Male,2,"Black, Black British, Black Welsh, Caribbean or African",148
E06000023,Bristol,44,Aged 58 years,2,Male,3,Mixed or Multiple ethnic groups,41
E06000023,Bristol,44,Aged 58 years,2,Male,4,White,2048
E06000023,Bristol,44,Aged 58 years,2,Male,5,Other ethnic group,35
E06000023,Bristol,45,Aged 59 years,1,Female,-8,Does not apply,0
E06000023,Bristol,45,Aged 59 years,1,Female,1,"Asian, Asian British or Asian Welsh",103
E06000023,Bristol,45,Aged 59 years,1,Female,2,"Black, Black British, Black Welsh, Caribbean or African",111
E06000023,Bristol,45,Aged 59 years,1,Female,3,Mixed or Multiple ethnic groups,31
E06000023,Bristol,45,Aged 59 years,1,Female,4,White,2044
E06000023,Bristol,45,Aged 59 years,1,Female,5,Other ethnic group,19
E06000023,Bristol,45,Aged 59 years,2,Male,-8,Does not apply,0
E06000023,Bristol,45,Aged 59 years,2,Male,1,"Asian, Asian British or Asian Welsh",97
E06000023,Bristol,45,Aged 59 years,2,Male,2,"Black, Black British, Black Welsh, Caribbean or African",130
E06000023,Bristol,45,Aged 59 years,2,Male,3,Mixed or Multiple ethnic groups,27
E06000023,Bristol,45,Aged 59 years,2,Male,4,White,2039
E06000023,Bristol,45,Aged 59 years,2,Male,5,Other ethnic group,24
E06000023,Bristol,46,Aged 60 years,1,Female,-8,Does not apply,0
E06000023,Bristol,46,Aged 60 years,1,Female,1,"Asian, Asian British or Asian Welsh",86
E06000023,Bristol,46,Aged 60 years,1,Female,2,"Black, Black British, Black Welsh, Caribbean or African",133
E06000023,Bristol,46,Aged 60 years,1,Female,3,Mixed or Multiple ethnic groups,45
E06000023,Bristol,46,Aged 60 years,1,Female,4,White,1938
E06000023,Bristol,46,Aged 60 years,1,Female,5,Other ethnic group,14
E06000023,Bristol,46,Aged 60 years,2,Male,-8,Does not apply,0
E06000023,Bristol,46,Aged 60 years,2,Male,1,"Asian, Asian British or Asian Welsh",103
E06000023,Bristol,46,Aged 60 years,2,Male,2,"Black, Black British, Black Welsh, Caribbean or African",117
E06000023,Bristol,46,Aged 60 years,2,Male,3,Mixed or Multiple ethnic groups,33
E06000023,Bristol,46,Aged 60 years,2,Male,4,White,1898
E06000023,Bristol,46,Aged 60 years,2,Male,5,Other ethnic group,26
E06000023,Bristol,47,Aged 61 years,1,Female,-8,Does not apply,0
E06000023,Bristol,47,Aged 61 years,1,Female,1,"Asian, Asian British or Asian Welsh",89
E06000023,Bristol,47,Aged 61 years,1,Female,2,"Black, Black British, Black Welsh, Caribbean or African",100
E06000023,Bristol,47,Aged 61 years,1,Female,3,Mixed or Multiple ethnic groups,43
E06000023,Bristol,47,Aged 61 years,1,Female,4,White,1850
E06000023,Bristol,47,Aged 61 years,1,Female,5,Other ethnic group,18
E06000023,Bristol,47,Aged 61 years,2,Male,-8,Does not apply,0
E06000023,Bristol,47,Aged 61 years,2,Male,1,"Asian, Asian British or Asian Welsh",88
E06000023,Bristol,47,Aged 61 years,2,Male,2,"Black, Black British, Black Welsh, Caribbean or African",102
E06000023,Bristol,47,Aged 61 years,2,Male,3,Mixed or Multiple ethnic groups,22
E06000023,Bristol,47,Aged 61 years,2,Male,4,White,1802
E06000023,Bristol,47,Aged 61 years,2,Male,5,Other ethnic group,26
E06000023,Bristol,48,Aged 62 years,1,Female,-8,Does not apply,0
E06000023,Bristol,48,Aged 62 years,1,Female,1,"Asian, Asian British or Asian Welsh",95
E06000023,Bristol,48,Aged 62 years,1,Female,2,"Black, Black British, Black Welsh, Caribbean or African",89
E06000023,Bristol,48,Aged 62 years,1,Female,3,Mixed or Multiple ethnic groups,36
E06000023,Bristol,48,Aged 62 years,1,Female,4,White,1816
E06000023,Bristol,48,Aged 62 years,1,Female,5,Other ethnic group,29
E06000023,Bristol,48,Aged 62 years,2,Male,-8,Does not apply,0
E06000023,Bristol,48,Aged 62 years,2,Male,1,"Asian, Asian British or Asian Welsh",97
E06000023,Bristol,48,Aged 62 years,2,Male,2,"Black, Black British, Black Welsh, Caribbean or African",102
E06000023,Bristol,48,Aged 62 years,2,Male,3,Mixed or Multiple ethnic groups,22
E06000023,Bristol,48,Aged 62 years,2,Male,4,White,1829
E06000023,Bristol,48,Aged 62 years,2,Male,5,Other ethnic group,19
E06000023,Bristol,49,Aged 63 years,1,Female,-8,Does not apply,0
E06000023,Bristol,49,Aged 63 years,1,Female,1,"Asian, Asian British or Asian Welsh",87
E06000023,Bristol,49,Aged 63 years,1,Female,2,"Black, Black British, Black Welsh, Caribbean or African",93
E06000023,Bristol,49,Aged 63 years,1,Female,3,Mixed or Multiple ethnic groups,27
E06000023,Bristol,49,Aged 63 years,1,Female,4,White,1882
E06000023,Bristol,49,Aged 63 years,1,Female,5,Other ethnic group,17
E06000023,Bristol,49,Aged 63 years,2,Male,-8,Does not apply,0
E06000023,Bristol,49,Aged 63 years,2,Male,1,"Asian, Asian British or Asian Welsh",81
E06000023,Bristol,49,Aged 63 years,2,Male,2,"Black, Black British, Black Welsh, Caribbean or African",73
E06000023,Bristol,49,Aged 63 years,2,Male,3,Mixed or Multiple ethnic groups,23
E06000023,Bristol,49,Aged 63 years,2,Male,4,White,1716
E06000023,Bristol,49,Aged 63 years,2,Male,5,Other ethnic group,22
E06000023,Bristol,50,Aged 64 years,1,Female,-8,Does not apply,0
E06000023,Bristol,50,Aged 64 years,1,Female,1,"Asian, Asian British or Asian Welsh",76
E06000023,Bristol,50,Aged 64 years,1,Female,2,"Black, Black British, Black Welsh, Caribbean or African",70
E06000023,Bristol,50,Aged 64 years,1,Female,3,Mixed or Multiple ethnic groups,23
E06000023,Bristol,50,Aged 64 years,1,Female,4,White,1623
E06000023,Bristol,50,Aged 64 years,1,Female,5,Other ethnic group,20
E06000023,Bristol,50,Aged 64 years,2,Male,-8,Does not apply,0
E06000023,Bristol,50,Aged 64 years,2,Male,1,"Asian, Asian British or Asian Welsh",72
E06000023,Bristol,50,Aged 64 years,2,Male,2,"Black, Black British, Black Welsh, Caribbean or African",63
E06000023,Bristol,50,Aged 64 years,2,Male,3,Mixed or Multiple ethnic groups,17
E06000023,Bristol,50,Aged 64 years,2,Male,4,White,1720
E06000023,Bristol,50,Aged 64 years,2,Male,5,Other ethnic group,22
E06000023,Bristol,51,Aged 65 years,1,Female,-8,Does not apply,0
E06000023,Bristol,51,Aged 65 years,1,Female,1,"Asian, Asian British or Asian Welsh",77
E06000023,Bristol,51,Aged 65 years,1,Female,2,"Black, Black British, Black Welsh, Caribbean or African",60
E06000023,Bristol,51,Aged 65 years,1,Female,3,Mixed or Multiple ethnic groups,22
E06000023,Bristol,51,Aged 65 years,1,Female,4,White,1627
E06000023,Bristol,51,Aged 65 years,1,Female,5,Other ethnic group,18
E06000023,Bristol,51,Aged 65 years,2,Male,-8,Does not apply,0
E06000023,Bristol,51,Aged 65 years,2,Male,1,"Asian, Asian British or Asian Welsh",59
E06000023,Bristol,51,Aged 65 years,2,Male,2,"Black, Black British, Black Welsh, Caribbean or African",71
E06000023,Bristol,51,Aged 65 years,2,Male,3,Mixed or Multiple ethnic groups,21
E06000023,Bristol,51,Aged 65 years,2,Male,4,White,1624
E06000023,Bristol,51,Aged 65 years,2,Male,5,Other ethnic group,8
E06000023,Bristol,52,Aged 66 years,1,Female,-8,Does not apply,0
E06000023,Bristol,52,Aged 66 years,1,Female,1,"Asian, Asian British or Asian Welsh",59
E06000023,Bristol,52,Aged 66 years,1,Female,2,"Black, Black British, Black Welsh, Caribbean or African",59
E06000023,Bristol,52,Aged 66 years,1,Female,3,Mixed or Multiple ethnic groups,23
E06000023,Bristol,52,Aged 66 years,1,Female,4,White,1586
E06000023,Bristol,52,Aged 66 years,1,Female,5,Other ethnic group,14
E06000023,Bristol,52,Aged 66 years,2,Male,-8,Does not apply,0
E06000023,Bristol,52,Aged 66 years,2,Male,1,"Asian, Asian British or Asian Welsh",82
E06000023,Bristol,52,Aged 66 years,2,Male,2,"Black, Black British, Black Welsh, Caribbean or African",65
E06000023,Bristol,52,Aged 66 years,2,Male,3,Mixed or Multiple ethnic groups,15
E06000023,Bristol,52,Aged 66 years,2,Male,4,White,1536
E06000023,Bristol,52,Aged 66 years,2,Male,5,Other ethnic group,15
E06000023,Bristol,53,Aged 67 years,1,Female,-8,Does not apply,0
E06000023,Bristol,53,Aged 67 years,1,Female,1,"Asian, Asian British or Asian Welsh",67
E06000023,Bristol,53,Aged 67 years,1,Female,2,"Black, Black British, Black Welsh, Caribbean or African",54
E06000023,Bristol,53,Aged 67 years,1,Female,3,Mixed or Multiple ethnic groups,15
E06000023,Bristol,53,Aged 67 years,1,Female,4,White,1630
E06000023,Bristol,53,Aged 67 years,1,Female,5,Other ethnic group,5
E06000023,Bristol,53,Aged 67 years,2,Male,-8,Does not apply,0
E06000023,Bristol,53,Aged 67 years,2,Male,1,"Asian, Asian British or Asian Welsh",77
E06000023,Bristol,53,Aged 67 years,2,Male,2,"Black, Black British, Black Welsh, Caribbean or African",50
E06000023,Bristol,53,Aged 67 years,2,Male,3,Mixed or Multiple ethnic groups,11
E06000023,Bristol,53,Aged 67 years,2,Male,4,White,1523
E06000023,Bristol,53,Aged 67 years,2,Male,5,Other ethnic group,15
E06000023,Bristol,54,Aged 68 years,1,Female,-8,Does not apply,0
E06000023,Bristol,54,Aged 68 years,1,Female,1,"Asian, Asian British or Asian Welsh",69
E06000023,Bristol,54,Aged 68 years,1,Female,2,"Black, Black British, Black Welsh, Caribbean or African",50
E06000023,Bristol,54,Aged 68 years,1,Female,3,Mixed or Multiple ethnic groups,15
E06000023,Bristol,54,Aged 68 years,1,Female,4,White,1532
E06000023,Bristol,54,Aged 68 years,1,Female,5,Other ethnic group,18
E06000023,Bristol,54,Aged 68 years,2,Male,-8,Does not apply,0
E06000023,Bristol,54,Aged 68 years,2,Male,1,"Asian, Asian British or Asian Welsh",49
E06000023,Bristol,54,Aged 68 years,2,Male,2,"Black, Black British, Black Welsh, Caribbean or African",43
E06000023,Bristol,54,Aged 68 years,2,Male,3,Mixed or Multiple ethnic groups,5
E06000023,Bristol,54,Aged 68 years,2,Male,4,White,1412
E06000023,Bristol,54,Aged 68 years,2,Male,5,Other ethnic group,20
E06000023,Bristol,55,Aged 69 years,1,Female,-8,Does not apply,0
E06000023,Bristol,55,Aged 69 years,1,Female,1,"Asian, Asian British or Asian Welsh",66
E06000023,Bristol,55,Aged 69 years,1,Female,2,"Black, Black British, Black Welsh, Caribbean or African",35
E06000023,Bristol,55,Aged 69 years,1,Female,3,Mixed or Multiple ethnic groups,13
E06000023,Bristol,55,Aged 69 years,1,Female,4,White,1413
E06000023,Bristol,55,Aged 69 years,1,Female,5,Other ethnic group,14
E06000023,Bristol,55,Aged 69 years,2,Male,-8,Does not apply,0
E06000023,Bristol,55,Aged 69 years,2,Male,1,"Asian, Asian British or Asian Welsh",49
E06000023,Bristol,55,Aged 69 years,2,Male,2,"Black, Black British, Black Welsh, Caribbean or African",35
E06000023,Bristol,55,Aged 69 years,2,Male,3,Mixed or Multiple ethnic groups,4
E06000023,Bristol,55,Aged 69 years,2,Male,4,White,1416
E06000023,Bristol,55,Aged 69 years,2,Male,5,Other ethnic group,18
E06000023,Bristol,56,Aged 70 years,1,Female,-8,Does not apply,0
E06000023,Bristol,56,Aged 70 years,1,Female,1,"Asian, Asian British or Asian Welsh",48
