Lower tier local authorities Code,Lower tier local authorities,Age (61 categories) Code,Age (61 categories),Sex (2 categories) Code,Sex (2 categories),Ethnic group (6 categories) Code,Ethnic group (6 categories),Tenure of household (7 categories) Code,Tenure of household (7 categories),Observation
E06000023,Bristol,1,Aged 15 years and under,2,Male,-8,Does not apply,2,Social rented: Rents from council or Local Authority,0
E06000023,Bristol,1,Aged 15 years and under,2,Male,-8,Does not apply,3,Social rented: Other social rented,0
E06000023,Bristol,1,Aged 15 years and under,2,Male,-8,Does not apply,4,Private rented: Private landlord or letting agency,0
E06000023,Bristol,1,Aged 15 years and under,2,Male,-8,Does not apply,5,Private rented: Other private rented or lives rent free,0
E06000023,Bristol,1,Aged 15 years and under,2,Male,1,"Asian, Asian British or Asian Welsh",-8,Does not apply,0
E06000023,Bristol,1,Aged 15 years and under,2,Male,1,"Asian, Asian British or Asian Welsh",0,Owned: Owns outright,341
E06000023,Bristol,1,Aged 15 years and under,2,Male,1,"Asian, Asian British or Asian Welsh",1,Owned: Owns with a mortgage or loan or shared ownership,1368
E06000023,Bristol,1,Aged 15 years and under,2,Male,1,"Asian, Asian British or Asian Welsh",2,Social rented: Rents from council or Local Authority,472
E06000023,Bristol,1,Aged 15 years and under,2,Male,1,"Asian, Asian British or Asian Welsh",3,Social rented: Other social rented,168
E06000023,Bristol,1,Aged 15 years and under,2,Male,1,"Asian, Asian British or Asian Welsh",4,Private rented: Private landlord or letting agency,697
E06000023,Bristol,1,Aged 15 years and under,2,Male,1,"Asian, Asian British or Asian Welsh",5,Private rented: Other private rented or lives rent free,117
E06000023,Bristol,1,Aged 15 years and under,2,Male,2,"Black, Black British, Black Welsh, Caribbean or African",-8,Does not apply,0
E06000023,Bristol,1,Aged 15 years and under,2,Male,2,"Black, Black British, Black Welsh, Caribbean or African",0,Owned: Owns outright,61
E06000023,Bristol,1,Aged 15 years and under,2,Male,2,"Black, Black British, Black Welsh, Caribbean or African",1,Owned: Owns with a mortgage or loan or shared ownership,266
E06000023,Bristol,1,Aged 15 years and under,2,Male,2,"Black, Black British, Black Welsh, Caribbean or African",2,Social rented: Rents from council or Local Authority,2340
E06000023,Bristol,1,Aged 15 years and under,2,Male,2,"Black, Black British, Black Welsh, Caribbean or African",3,Social rented: Other social rented,865
E06000023,Bristol,1,Aged 15 years and under,2,Male,2,"Black, Black British, Black Welsh, Caribbean or African",4,Private rented: Private landlord or letting agency,597
E06000023,Bristol,1,Aged 15 years and under,2,Male,2,"Black, Black British, Black Welsh, Caribbean or African",5,Private rented: Other private rented or lives rent free,96
E06000023,Bristol,1,Aged 15 years and under,2,Male,3,Mixed or Multiple ethnic groups,-8,Does not apply,0
E06000023,Bristol,1,Aged 15 years and under,2,Male,3,Mixed or Multiple ethnic groups,0,Owned: Owns outright,264
E06000023,Bristol,1,Aged 15 years and under,2,Male,3,Mixed or Multiple ethnic groups,1,Owned: Owns with a mortgage or loan or shared ownership,1564
E06000023,Bristol,1,Aged 15 years and under,2,Male,3,Mixed or Multiple ethnic groups,2,Social rented: Rents from council or Local Authority,897
E06000023,Bristol,1,Aged 15 years and under,2,Male,3,Mixed or Multiple ethnic groups,3,Social rented: Other social rented,515
E06000023,Bristol,1,Aged 15 years and under,2,Male,3,Mixed or Multiple ethnic groups,4,Private rented: Private landlord or letting agency,777
E06000023,Bristol,1,Aged 15 years and under,2,Male,3,Mixed or Multiple ethnic groups,5,Private rented: Other private rented or lives rent free,66
E06000023,Bristol,1,Aged 15 years and under,2,Male,4,White,-8,Does not apply,0
E06000023,Bristol,1,Aged 15 years and under,2,Male,4,White,0,Owned: Owns outright,2227
E06000023,Bristol,1,Aged 15 years and under,2,Male,4,White,1,Owned: Owns with a mortgage or loan or shared ownership,16049
E06000023,Bristol,1,Aged 15 years and under,2,Male,4,White,2,Social rented: Rents from council or Local Authority,4952
E06000023,Bristol,1,Aged 15 years and under,2,Male,4,White,3,Social rented: Other social rented,1304
E06000023,Bristol,1,Aged 15 years and under,2,Male,4,White,4,Private rented: Private landlord or letting agency,4548
E06000023,Bristol,1,Aged 15 years and under,2,Male,4,White,5,Private rented: Other private rented or lives rent free,535
E06000023,Bristol,1,Aged 15 years and under,2,Male,5,Other ethnic group,-8,Does not apply,0
E06000023,Bristol,1,Aged 15 years and under,2,Male,5,Other ethnic group,0,Owned: Owns outright,39
E06000023,Bristol,1,Aged 15 years and under,2,Male,5,Other ethnic group,1,Owned: Owns with a mortgage or loan or shared ownership,170
E06000023,Bristol,1,Aged 15 years and under,2,Male,5,Other ethnic group,2,Social rented: Rents from council or Local Authority,317
E06000023,Bristol,1,Aged 15 years and under,2,Male,5,Other ethnic group,3,Social rented: Other social rented,107
E06000023,Bristol,1,Aged 15 years and under,2,Male,5,Other ethnic group,4,Private rented: Private landlord or letting agency,359
E06000023,Bristol,1,Aged 15 years and under,2,Male,5,Other ethnic group,5,Private rented: Other private rented or lives rent free,43
E06000023,Bristol,2,Aged 16 years,1,Female,-8,Does not apply,-8,Does not apply,0
E06000023,Bristol,2,Aged 16 years,1,Female,-8,Does not apply,0,Owned: Owns outright,0
E06000023,Bristol,2,Aged 16 years,1,Female,-8,Does not apply,1,Owned: Owns with a mortgage or loan or shared ownership,0
E06000023,Bristol,2,Aged 16 years,1,Female,-8,Does not apply,2,Social rented: Rents from council or Local Authority,0
E06000023,Bristol,2,Aged 16 years,1,Female,-8,Does not apply,3,Social rented: Other social rented,0
E06000023,Bristol,2,Aged 16 years,1,Female,-8,Does not apply,4,Private rented: Private landlord or letting agency,0
E06000023,Bristol,2,Aged 16 years,1,Female,-8,Does not apply,5,Private rented: Other private rented or lives rent free,0
E06000023,Bristol,2,Aged 16 years,1,Female,1,"Asian, Asian British or Asian Welsh",-8,Does not apply,0
E06000023,Bristol,2,Aged 16 years,1,Female,1,"Asian, Asian British or Asian Welsh",0,Owned: Owns outright,34
E06000023,Bristol,2,Aged 16 years,1,Female,1,"Asian, Asian British or Asian Welsh",1,Owned: Owns with a mortgage or loan or shared ownership,90
E06000023,Bristol,2,Aged 16 years,1,Female,1,"Asian, Asian British or Asian Welsh",2,Social rented: Rents from council or Local Authority,20
E06000023,Bristol,2,Aged 16 years,1,Female,1,"Asian, Asian British or Asian Welsh",3,Social rented: Other social rented,8
E06000023,Bristol,2,Aged 16 years,1,Female,1,"Asian, Asian British or Asian Welsh",4,Private rented: Private landlord or letting agency,26
E06000023,Bristol,2,Aged 16 years,1,Female,1,"Asian, Asian British or Asian Welsh",5,Private rented: Other private rented or lives rent free,4
E06000023,Bristol,2,Aged 16 years,1,Female,2,"Black, Black British, Black Welsh, Caribbean or African",-8,Does not apply,0
E06000023,Bristol,2,Aged 16 years,1,Female,2,"Black, Black British, Black Welsh, Caribbean or African",0,Owned: Owns outright,8
E06000023,Bristol,2,Aged 16 years,1,Female,2,"Black, Black British, Black Welsh, Caribbean or African",1,Owned: Owns with a mortgage or loan or shared ownership,28
E06000023,Bristol,2,Aged 16 years,1,Female,2,"Black, Black British, Black Welsh, Caribbean or African",2,Social rented: Rents from council or Local Authority,111
E06000023,Bristol,2,Aged 16 years,1,Female,2,"Black, Black British, Black Welsh, Caribbean or African",3,Social rented: Other social rented,63
E06000023,Bristol,2,Aged 16 years,1,Female,2,"Black, Black British, Black Welsh, Caribbean or African",4,Private rented: Private landlord or letting agency,26
E06000023,Bristol,2,Aged 16 years,1,Female,2,"Black, Black British, Black Welsh, Caribbean or African",5,Private rented: Other private rented or lives rent free,7
E06000023,Bristol,2,Aged 16 years,1,Female,3,Mixed or Multiple ethnic groups,-8,Does not apply,0
E06000023,Bristol,2,Aged 16 years,1,Female,3,Mixed or Multiple ethnic groups,0,Owned: Owns outright,23
E06000023,Bristol,2,Aged 16 years,1,Female,3,Mixed or Multiple ethnic groups,1,Owned: Owns with a mortgage or loan or shared ownership,69
E06000023,Bristol,2,Aged 16 years,1,Female,3,Mixed or Multiple ethnic groups,2,Social rented: Rents from council or Local Authority,46
E06000023,Bristol,2,Aged 16 years,1,Female,3,Mixed or Multiple ethnic groups,3,Social rented: Other social rented,31
E06000023,Bristol,2,Aged 16 years,1,Female,3,Mixed or Multiple ethnic groups,4,Private rented: Private landlord or letting agency,23
E06000023,Bristol,2,Aged 16 years,1,Female,3,Mixed or Multiple ethnic groups,5,Private rented: Other private rented or lives rent free,4
E06000023,Bristol,2,Aged 16 years,1,Female,4,White,-8,Does not apply,0
E06000023,Bristol,2,Aged 16 years,1,Female,4,White,0,Owned: Owns outright,245
E06000023,Bristol,2,Aged 16 years,1,Female,4,White,1,Owned: Owns with a mortgage or loan or shared ownership,653
